model,cov,k,silhouette,calinski_harabasz,davies_bouldin,bic,aic
GMM,diag,5,0.10267282024453822,18619.351766025622,3.0526158803659413,3218.7173207197593,2893.5858706329227
GMM,diag,4,0.21361289526688765,23235.47534520809,5.877581551144781,3219.746864939091,2960.2121109224063
GMM,diag,8,0.08018493363542259,13917.236272987962,2.5587124269067063,3255.1413515897425,2733.2198132924527
GMM,diag,6,0.13042268752798558,17017.209484994375,2.3860184581705703,3261.638210887242,2870.910064730255
GMM,diag,7,0.14935645309782228,14882.300418978082,2.481668476432623,3318.2315587589696,2861.906716531831
GMM,diag,3,0.9659946829343786,34922.72854200193,0.009395625623701158,3402.736919148888,3208.798861202354
GMM,tied,6,0.41050745377267234,19969.548313520405,0.8172163505535041,3806.1198650638007,3415.3917189068134
GMM,tied,5,0.48054708486219055,21070.68398021257,0.6001637029793248,3806.2507118624276,3449.7469288724756
GMM,tied,3,0.9659946829343786,34922.72854200193,0.009395625623701158,3828.4726141041992,3540.417557448318
GMM,tied,4,0.5274694779387592,26234.59806471344,0.722294821825689,3830.585748868226,3508.306329045309
GMM,tied,7,0.2988111467677689,19570.504444999227,0.9246698053533233,3832.6323168650615,3407.679807541039
GMM,tied,8,0.22897571295159674,18639.163923192285,0.7687096242754075,3837.637155211646,3378.4602827205877
GMM,full,4,0.44193376146365415,26554.399925313595,0.7532910926583725,3963.4065068086447,3076.4250947296437
GMM,full,7,0.13332040519543023,18740.711350406156,1.9764942010481867,3971.353525239856,2416.997031403665
GMM,full,5,0.3500627221763744,23386.964386407923,0.7437562475669797,4007.41833997678,2897.9785673120487
GMM,full,6,0.37236147720176893,22487.697101543075,0.7032857117463328,4031.7308655202346,2699.8327322697737
GMM,full,8,0.1300177719029513,17876.129960263886,1.3148874633860832,4171.026762662596,2394.2119082406753
GMM,full,3,0.9659946829343786,34922.72854200193,0.009395625623701158,4175.46238159202,3510.9393300987495
GMM,diag,2,0.9837973906794486,1817.5265878291564,0.00593507104137119,4248.874374268844,4120.533012392461
GMM,tied,2,0.9837973906794486,1817.5265878291564,0.00593507104137119,4601.983556889854,4348.152863401008
GMM,full,2,0.9837973906794486,1817.5265878291564,0.00593507104137119,4768.932562344805,4326.8678714372645
