model,cov,k,silhouette,calinski_harabasz,davies_bouldin,bic,aic
GMM,diag,2,0.5184675147698581,14.841905974112796,2.6141697408101217,-808.9037112942316,-903.020710003579
GMM,diag,3,0.5296537625929321,28.70576093059555,1.7747995722187822,-790.4490376291768,-933.0505508251576
GMM,tied,4,0.5835094635855766,44.86704411954073,0.5977101117645379,-769.7448979759772,-972.23904671427
GMM,diag,4,0.18001694456121975,25.81956272967957,2.0632980478112466,-759.9544368169511,-951.0404644995654
GMM,tied,5,0.2249986267500632,46.95626013740882,1.0332516132023108,-735.8300214976443,-963.9924426112136
GMM,diag,5,0.10717145861021513,36.45620995909797,1.5600643245708663,-720.8724565664675,-960.4429987357153
GMM,tied,8,0.27652961134086956,42.620073476488315,0.9007980002985346,-716.5048979051876,-1021.6721361445866
GMM,tied,3,0.5578111477488066,30.838971610544586,1.5173544723238477,-714.0350029225528,-890.860879285569
GMM,tied,6,0.27109008581800764,42.19102673069783,0.9293087906525049,-709.7486565697387,-963.5793500585846
GMM,full,2,0.6359995719293035,38.06810483473146,0.3752040253929043,-705.9510553709162,-959.781748859762
GMM,tied,2,0.6359995719293035,38.06810483473146,0.3752040253929043,-697.6905435005265,-848.8481474882662
GMM,tied,7,0.24610365820901764,38.412547412628406,1.0893541072651163,-696.264763020587,-975.7637288847095
GMM,diag,6,0.1776353129032661,45.19251746616052,1.263297253559632,-694.0887168828181,-982.1437735386994
GMM,full,3,0.05606890481873689,23.571158290204824,2.368293181159054,-661.1579519870869,-1043.3300073523155
GMM,diag,7,0.21391547272788916,45.475134135348746,1.0504058586942473,-657.703076931106,-994.2426480736208
GMM,full,4,0.22279827016129133,35.75182582956168,1.279590363736548,-656.8116412210252,-1167.3250584626367
GMM,full,5,0.09374780735027174,35.66237780384991,2.159479814145125,-654.7850291017542,-1293.6398082197484
GMM,diag,8,0.23436087193028854,49.69794362702138,0.9853050072923253,-612.1729490384802,-997.1970346676285
GMM,full,6,0.18790451394492008,44.84775288355355,1.2437333668086643,-466.771737000397,-1233.967877994774
GMM,full,7,0.26782318292402163,45.67804010473047,1.0073631694945844,-348.7217398242524,-1244.259242695012
GMM,full,8,0.17286091345430962,45.21812956814989,1.1625160511334531,-244.59700283732946,-1268.4758675844719
