model,cov,k,silhouette,calinski_harabasz,davies_bouldin,bic,aic
GMM,full,2,0.2675828719685781,1.252970050657256,12.507772330826466,226275.13672434277,224001.7282219614
GMM,diag,8,0.39661949865900825,38.79398315912732,9.557245916392377,372533.5804233722,370920.9891429412
GMM,diag,7,0.3442376458974421,41.32144905331991,10.441817749497815,372743.5838707326,371333.1829343311
GMM,diag,6,0.34012611689036865,49.48985659101046,10.38982684882969,373186.2518014983,371978.0412091264
GMM,diag,5,0.33788400952590947,1.6431599088661601,12.95476619646781,373603.82233421586,372597.80208587355
GMM,diag,4,0.3227564303853204,0.9852607412026487,18.455502862449702,375034.78220294823,374230.9522986355
GMM,diag,3,0.30687821589382736,1.4398624574922727,15.996370736289549,375964.7471247291,375363.10756444593
GMM,diag,2,0.2667795694199441,1.2551438792312597,12.469408750068814,380526.57366502355,380127.12444877
GMM,tied,8,0.3890060126927517,499.81767828772485,2.34413615008558,507908.0267250909,506048.86185437994
GMM,tied,7,0.669189481505837,630.0639775607818,0.9187912813319615,508464.16832919774,506708.5643664043
GMM,tied,5,0.633735405250551,255.98421763331712,1.6593046392438329,508612.17222829163,507063.6900813334
GMM,tied,6,0.6764203115527008,753.4945008876823,0.6422228661698804,509233.18553980824,507581.14248493244
GMM,tied,4,0.6421420950463492,341.0224767536333,1.113246684658265,509422.0667128304,507977.1454737898
GMM,tied,3,0.7759646278631952,296.51895493880534,0.8646097511778849,509717.21404118784,508375.8537100648
GMM,tied,2,0.7494232972527907,80.43922545494831,1.5757866474272926,510123.99460957973,508886.19518637424
