model,cov,k,silhouette,calinski_harabasz,davies_bouldin,bic,aic
GMM,diag,6,0.11905134955626137,7838.331152968176,1.5533968543741317,7145.596717296287,6446.849302635981
GMM,diag,5,0.23766695987355596,9572.251688418597,1.9193299706517428,7180.650653693715,6598.836479854113
GMM,diag,4,0.8367650717859763,12386.408532869797,0.054908643624467665,7198.100529674022,6733.219596655124
GMM,diag,7,0.12607556980369708,6877.437544979304,2.4319413422727885,7200.418132925492,6384.737477444482
GMM,diag,8,0.03380539480806005,6372.614790367834,1.9178076414123812,7302.498770876324,6369.884874574609
GMM,diag,3,0.9550339377791371,11117.094521720675,0.015128897425137679,7511.363281101139,7163.415588902946
GMM,diag,2,0.9809600356569246,1716.2345623636413,0.007659175864382923,8399.992981661615,8168.978530284126
GMM,tied,4,0.8367650717859763,12386.408532869797,0.054908643624467665,8588.847954583449,7753.203087255001
GMM,tied,5,0.33524052710307917,9802.458001687228,0.4342810118924182,8594.796260826712,7699.258757955951
GMM,tied,6,0.12207451919609982,8483.232441565946,1.0314118743607181,8638.648811986805,7683.218673573732
GMM,tied,7,0.06281906340855604,7372.641636855984,1.404375076997558,8703.716370729797,7688.393596774414
GMM,tied,8,0.0582101971760975,6980.258851671187,1.320780387130847,8720.539368474601,7645.3239589769055
GMM,tied,3,0.9550339377791371,11117.094521720675,0.015128897425137679,8748.256577512439,7972.504345726304
GMM,tied,2,0.9809600356569246,1716.2345623636413,0.007659175864382923,9496.48544241266,8780.625846168838
GMM,full,8,0.10109504547412498,7237.651969924385,1.2564220103560084,9934.028435470045,4666.3285380105135
GMM,full,3,0.9550339377791371,11117.094521720675,0.015128897425137679,10230.98468890109,8257.379746268714
GMM,full,2,0.9809600356569246,1716.2345623636413,0.007659175864382923,10231.195411110557,8916.409459443614
GMM,full,5,0.27130898977130563,10221.085258862797,0.7209064510392433,10247.42072550806,6956.177800944823
GMM,full,7,0.12203684364982938,7969.402403030543,1.1694785456539436,10481.26181263425,5872.38090614015
GMM,full,4,0.8367650717859763,12386.408532869797,0.054908643624467665,10819.100286323992,8186.676352726186
GMM,full,6,0.11418829268703685,8869.625323116681,1.1091063959405654,11017.961977678684,7067.9000621500145
