dataset_version,data_structure,created_at,source_file,n_subjects,n_features,feature_names,cleaning_version,scaling_version,selection_version
v1,full,2026-03-23T21:47:40,rawdata_wrong corrected_0319.xlsx,128,11,"hr_dtst_env_sd, tonic_dtst_env_sd, pulse_amplitude_dtst_env_sd, skt_dtst_env_sd, tsv_20minus10_env_sd, m2_20minus10_env_sd, p7_minus_m7_overall_mean, p7_minus_m7_env_sd, tlx1_dtst_env_sd, eup5, eup16",missing_data_v1,blockwise_standardization_v1,fixed_feature_set_v1
v1,full,2026-03-23T21:48:38,rawdata_wrong corrected_0319.xlsx,128,11,"hr_dtst_env_sd, tonic_dtst_env_sd, pulse_amplitude_dtst_env_sd, skt_dtst_env_sd, tsv_20minus10_env_sd, m2_20minus10_env_sd, p7_minus_m7_overall_mean, p7_minus_m7_env_sd, tlx1_dtst_env_sd, eup5, eup16",missing_data_v1,blockwise_standardization_v1,fixed_feature_set_v1
v1,full,2026-03-23T21:49:15,rawdata_wrong corrected_0319.xlsx,128,11,"hr_dtst_env_sd, tonic_dtst_env_sd, pulse_amplitude_dtst_env_sd, skt_dtst_env_sd, tsv_20minus10_env_sd, m2_20minus10_env_sd, p7_minus_m7_overall_mean, p7_minus_m7_env_sd, tlx1_dtst_env_sd, eup5, eup16",missing_data_v1,blockwise_standardization_v1,fixed_feature_set_v1
v1,full,2026-03-23T21:59:13,rawdata_wrong corrected_0319.xlsx,128,11,"hr_dtst_env_sd, tonic_dtst_env_sd, pulse_amplitude_dtst_env_sd, skt_dtst_env_sd, tsv_20minus10_env_sd, m2_20minus10_env_sd, p7_minus_m7_overall_mean, p7_minus_m7_env_sd, tlx1_dtst_env_sd, eup5, eup16",missing_data_v1,blockwise_standardization_v1,fixed_feature_set_v1
