model,cov,k,silhouette,calinski_harabasz,davies_bouldin,bic,aic
GMM,diag,6,0.1027458709280111,7199.298473260028,1.2544959997254048,9638.17498033449,8939.427565674185
GMM,diag,5,0.24682575594058506,7898.496588311897,1.3628046726873528,9639.058849751846,9057.244675912243
GMM,diag,7,0.08583852010737117,6580.218836758535,1.6174593012811607,9695.746808560589,8880.066153079579
GMM,diag,4,0.2563438250429119,10107.803536683476,1.5789346316077428,9758.073695395113,9293.192762376215
GMM,diag,8,0.13727914732679972,5281.33131685165,1.4664292242991976,9875.489485580954,8942.87558927924
GMM,diag,3,0.9728199507027981,14017.259377838913,0.007532795073742152,10126.775999210236,9778.828307012043
GMM,full,7,0.29062277070692566,8008.217309158191,1.1346115744341532,10804.546576507175,6195.665670013073
GMM,full,8,0.03416156319082858,6651.719023503214,1.8755705599099577,10955.74922658906,5688.049329129528
GMM,full,5,0.39463271768063285,10772.1398952039,0.7891868993907496,11095.12539483715,7803.882470273913
GMM,tied,7,0.32201763900557717,7959.983362472976,1.1154451122202187,11274.065812212462,10258.743038257078
GMM,tied,4,0.4081694391539315,11147.511558701532,0.8920428586893545,11318.268744211044,10482.623876882595
GMM,tied,5,0.39123572133759055,10554.691543480818,0.7967362377478187,11319.681366697034,10424.143863826273
GMM,full,6,0.18580766303157054,9011.259010406624,1.1594525258374992,11324.441289926363,7374.379374397692
GMM,tied,6,0.38255840307498745,8810.97360650408,0.8312252252851775,11341.090653102272,10385.6605146892
GMM,tied,8,0.07386981820217797,6966.187052630883,1.5457748491286996,11341.340068416213,10266.124658918518
GMM,tied,3,0.9728199507027981,14017.259377838913,0.007532795073742153,11342.274870236797,10566.52263845066
GMM,full,4,0.4206295966617044,11636.051568845909,0.6522760236785669,11845.042754910759,9212.618821312952
GMM,diag,2,0.9720625314637448,179.68192333169443,0.01602504359267675,12197.37532246236,11966.360871084871
GMM,tied,2,0.9720625314637448,179.68192333169443,0.01602504359267675,12319.802924827873,11603.94332858405
GMM,full,3,0.9728199507027981,14017.259377838913,0.007532795073742152,12784.471445801797,10810.866503169422
GMM,full,2,0.9720625314637448,179.68192333169443,0.01602504359267675,13032.455725694477,11717.669774027534
