연번,cluster
1.0,0
2.0,0
3.0,0
4.0,0
5.0,4
6.0,0
7.0,3
8.0,0
9.0,3
10.0,0
11.0,3
12.0,0
13.0,4
14.0,4
15.0,0
16.0,4
17.0,4
18.0,5
19.0,3
20.0,0
21.0,4
22.0,0
23.0,3
24.0,3
25.0,0
26.0,3
27.0,2
28.0,0
29.0,0
30.0,3
31.0,4
32.0,0
33.0,3
34.0,3
35.0,3
36.0,3
37.0,3
38.0,3
39.0,3
40.0,3
41.0,0
42.0,3
43.0,0
44.0,3
45.0,4
46.0,3
47.0,4
48.0,0
49.0,3
50.0,0
51.0,0
52.0,3
53.0,4
54.0,3
55.0,4
56.0,4
57.0,3
58.0,1
59.0,3
60.0,0
61.0,3
62.0,3
63.0,3
64.0,3
65.0,3
66.0,0
67.0,3
68.0,3
69.0,4
70.0,4
71.0,3
72.0,0
73.0,3
74.0,3
75.0,3
76.0,3
77.0,0
78.0,3
79.0,3
80.0,3
81.0,3
82.0,0
83.0,0
84.0,0
85.0,4
86.0,0
87.0,0
88.0,0
89.0,0
90.0,4
91.0,3
92.0,0
93.0,3
94.0,0
95.0,4
96.0,3
97.0,4
98.0,0
99.0,0
100.0,0
101.0,3
102.0,0
103.0,3
104.0,4
105.0,3
106.0,4
107.0,3
108.0,3
109.0,0
110.0,0
111.0,4
112.0,0
113.0,3
114.0,3
115.0,0
116.0,4
117.0,3
118.0,3
119.0,3
120.0,3
121.0,3
122.0,3
123.0,3
124.0,0
125.0,3
126.0,4
127.0,3
128.0,3
